STATE,WHSE,DATE,SUPPLIER,BLOCK,BLOCK LOC,TRK,WT,SKS,MC,GRIT,ASTM,JIS,VM,ASH,FC,REMARKS,PHP/KG,PHP TTL,MC WTD,GRIT WTD,ASTM WTD,JIS WTD,VM WTD,ASH WTD,FC WTD,CLEAN_BLOCK
CLOSED,WHSE A,45491,SUNDRY BACKLOG,NOV-22-BLK5,A-1A,,68766,,9.8,,,,,,,PRICE BASED ON AKU'S FILE,20.68,1422080.88,673906.8,0,0,0,0,0,0,NOV-22-BLK5
CLOSED,WHSE A,45491,SUNDRY BACKLOG,MAY-22-BLK9,A-2A,,79690,,9,,,,,,,PRICE BASED ON AKU'S FILE,22.22,1770711.8,717210,0,0,0,0,0,0,MAY-22-BLK9
CLOSED,WHSE A,45491,SUNDRY BACKLOG,APR-22-BLK4,A-3A,,73140,,9,,,,,,,PRICE BASED ON AKU'S FILE,22.29,1630290.6,658260,0,0,0,0,0,0,APR-22-BLK4
CLOSED,WHSE A,45491,SUNDRY BACKLOG,JULY-22-BLK10,A-5A,,71650,,10,,,,,,,PRICE BASED ON AKU'S FILE,22.1,1583465,716500,0,0,0,0,0,0,JULY-22-BLK10
CLOSED,WHSE A,45491,SUNDRY BACKLOG,JAN-23-BLK7,A-1C,,23261,,9.5,,,,,,,PRICE BASED ON AKU'S FILE,21.82,507555.02,220979.5,0,0,0,0,0,0,JAN-23-BLK7
CLOSED,WHSE A,44835,SEVILLA 2022 BACKLOG,OCT-22-BLK1,A-14A,,69335,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '22 LIQUIDATION,21.32,1478222.2,832020,0,0,0,0,0,0,OCT-22-BLK1
CLOSED,WHSE A,44835,SEVILLA 2022 BACKLOG,OCT-22-BLK5,A-15A,,88695,,11.5,,,,,,,WT'D AVERAGE PRICE BASED ON '22 LIQUIDATION,21.37,1895412.15,1019992.5,0,0,0,0,0,0,OCT-22-BLK5
CLOSED,WHSE A,44835,SEVILLA 2022 BACKLOG,OCT-22-BLK6,A-15B,,75575,,11,,,,,,,WT'D AVERAGE PRICE BASED ON '22 LIQUIDATION,21.43,1619572.25,831325,0,0,0,0,0,0,OCT-22-BLK6
CLOSED,WHSE A,44835,SEVILLA 2022 BACKLOG,OCT-22-BLK9,A-15C,,62037,,11.7,,,,,,,WT'D AVERAGE PRICE BASED ON '22 LIQUIDATION,21.5,1333795.5,725832.9,0,0,0,0,0,0,OCT-22-BLK9
CLOSED,WHSE A,44927,2023 BACKLOG,JAN-23-BLK8,A-17A,,70050,,13.63333333,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,20.67,1447933.5,955015,0,0,0,0,0,0,JAN-23-BLK8
CLOSED,WHSE A,44958,2023 BACKLOG,FEB-23-BLK1,A-18A,,75365,,11.5,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.68,1483183.2,866697.5,0,0,0,0,0,0,FEB-23-BLK1
CLOSED,WHSE A,44958,2023 BACKLOG,FEB-23-BLK3,A-19A,,73429,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.75,1450222.75,881148,0,0,0,0,0,0,FEB-23-BLK3
