DATE,BATCH,BLOCK,WT,PLANT/ETC,REMARKS,BLOCK LOC,AVG PRICE,AVG WTD VALUE
45292,,AUG-23-TNK2,13997,MAIN,BACKLOG,,,
45292,,AUG-22-BLK11,28828,MAIN,BACKLOG,,,
45292,,MAR-21-BLK5,9934,MAIN,BACKLOG,,,
45292,,RECOOKED,15776,MAIN,BACKLOG,,,
45292,,MAR-21-BLK1,53632,MAIN,BACKLOG,,,
45292,,AUG-22-BLK10,73711,MAIN,BACKLOG,,,
45292,,AUG-23-TNK1,75584,MAIN,BACKLOG,,,
45292,,JAN-21-BLK4,67586,MAIN,BACKLOG,,,
45292,,AUG-22-BLK9,62271,MAIN,BACKLOG,,,
45292,,MAR-22-BLK15,68650,MAIN,BACKLOG,,,
45292,,AUG-22-BLK8,69336,MAIN,BACKLOG,,,
45292,,OCT-23-TNK2,38462,MAIN,BACKLOG,,,
45292,,MAR-22-BLK4,35085,MAIN,BACKLOG,,,
45292,,AUG-22-BLK7,17639,MAIN,BACKLOG,,,
45323,,OCT-23-TNK2,15180,MAIN,BACKLOG,,,
45323,,MAR-22-BLK4,28835,MAIN,BACKLOG,,,
45323,,AUG-22-BLK7,54500,MAIN,BACKLOG,,,
45323,,APR-22-BLK3,59878,MAIN,BACKLOG,,,
45323,,OCT-23-TNK1,52285,MAIN,BACKLOG,,,
45323,,AUG-22-BLK6,77665,MAIN,BACKLOG,,,
45323,,MAR-22-BLK7,52562,MAIN,BACKLOG,,,
45323,,AUG-22-BLK5,79460,MAIN,BACKLOG,,,
45323,,SEPT-23-TNK1,52143,MAIN,BACKLOG,,,
45323,,NOV-22-BLK3,53981,MAIN,BACKLOG,,,
45323,,NOV-22-BLK1,43172,MAIN,BACKLOG,,,
45323,,AUG-22-BLK4,47980,MAIN,BACKLOG,,,
45352,,NOV-22-BLK1,21493,MAIN,BACKLOG,,,
45352,,AUG-22-BLK4,20872,MAIN,BACKLOG,,,
45352,,DEC-23-TNK1,55699,MAIN,BACKLOG,,,
45352,,NOV-22-BLK3,55834,MAIN,BACKLOG,,,
45352,,AUG-22-BLK3,67060,MAIN,BACKLOG,,,
45352,,NOV-22-BLK2,67062,MAIN,BACKLOG,,,
45352,,AUG-22-BLK2,75257,MAIN,BACKLOG,,,
45352,,NOV-23-TNK1,57940,MAIN,BACKLOG,,,
45352,,DEC-22-BLK1,61812,MAIN,BACKLOG,,,
45352,,JULY-22-BLK4,74182,MAIN,BACKLOG,,,
45352,,NOV-22-BLK7,42064,MAIN,BACKLOG,,,
45352,,JUNE-22-BLK12,18754,MAIN,BACKLOG,,,
45352,,FEB-24-TNK1,9930,MAIN,BACKLOG,D-3B,19,188670
45383,,NOV-22-BLK7,26948,MAIN,BACKLOG,,,
45383,,JUNE-22-BLK12,52334,MAIN,BACKLOG,,,
45383,,JULY-22-BLK7,70859,MAIN,BACKLOG,,,
45383,,DEC-20-BLK7,54191,MAIN,BACKLOG,,,
45383,,JULY-22-BLK6,71189,MAIN,BACKLOG,,,
45383,,JUNE-20-BLK9,53616,MAIN,BACKLOG,,,
45383,,JULY-22-BLK1,65612,MAIN,BACKLOG,,,
45383,,JUNE-20-BLK8,56531,MAIN,BACKLOG,,,
45383,,FEED,17980,MAIN,BACKLOG,,22.81287345,410175.4646
45383,,DEC-23-BLK3,7152,MAIN,BACKLOG,C-20B,16.75,119796
45383,,FEB-24-TNK1,40222,MAIN,CLOSED,D-3B,19,764218
45383,,JAN-24-TNK1,53052,MAIN,CLOSED,D-3C,18.56640661,984985.0035
45383,,DEC-23-TNK2,30091,MAIN,CLOSED,D-3D,18,541638
45413,,MAY-22-BLK13,55980,MAIN,BACKLOG,,,
45413,,FEED-PAQUIBOT,17805,MAIN,BACKLOG,,,
45413,,MAY-22-BLK12,69164,MAIN,BACKLOG,,,
45413,,FEED-PAQUIBOT,18140,MAIN,BACKLOG,,,
45413,,MAY-22-BLK8,56874,MAIN,BACKLOG,,,
45413,,MAY-22-BLK4,66037,MAIN,BACKLOG,,,
45413,,APR-22-BLK1,56394,MAIN,BACKLOG,,,
45413,,JULY-22-BLK3,15820,MAIN,BACKLOG,,,
45413,,FEB-24-BLK4,34887,MAIN,BACKLOG,A-9A,16.83639174,587371.1988
45413,,JAN-24-BLK3,58650,MAIN,CLOSED,C-20A,16.829098,987026.5976
45413,,DEC-23-BLK3,13402,MAIN,CLOSED,C-20B,16.75,224483.5
45413,,APR-24-TNK1,53505,MAIN,CLOSED,D-4B,19.57484369,1047352.012
45413,,MAR-24-TNK2,54322,MAIN,CLOSED,D-4C,19,1032118
45413,,MAR-24-TNK1,56213,MAIN,CLOSED,D-4D,19,1068047
45413,,MAY-24-TNK2,45754,MAIN,CLOSED,D-5B,20,915080
45413,,MAY-24-TNK1,11432,MAIN,BACKLOG,D-5C,20,228640
45444,,OCT-22-BLK1,32560,MAIN,,A-14A,21.32,694179.2
45444,,JUL22-BLK3,47202,MAIN,BACKLOG,,,
45444,,FEED,17868,MAIN,BACKLOG,,22.81287345,407620.4228
45444,,JULY-22-BLK1,65425,MAIN,BACKLOG,,,
45444,,JULY-22-BLK13,65942,MAIN,BACKLOG,,,
45444,,OCT-22-BLK2,68898,MAIN,BACKLOG,,,
45444,,OCT-22-BLK8,81580,MAIN,BACKLOG,,,
45444,,DEC-20-BLK3,57485,MAIN,BACKLOG,,,
45444,,FEB-24-BLK4,30840,MAIN,CLOSED,A-9A,16.83639174,519234.3214
45444,,MAY-24-BLK1,27389,MAIN,,A-9B,17.12871568,469138.3938
45444,,APR-24-TNK2,56788,MAIN,,D-1D,20,1135760
45444,,MAY-24-TNK1,46252,MAIN,CLOSED,D-5C,20,925040
45444,,APR-24-TNK3,52077,MAIN,CLOSED,D-5D,20,1041540
45485,,OCT-22-BLK1,30511,MAIN,CLOSED,A-14A,21.32,650494.52
45485,,OCT-22-BLK5,81030,MAIN,,A-15A,21.37,1731611.1
45485,,OCT-22-BLK6,69691,MAIN,CLOSED,A-15B,21.43,1493478.13
45485,,OCT-22-BLK9,59453,MAIN,CLOSED,A-15C,21.5,1278239.5
45485,,MAY-24-BLK1,51599,MAIN,CLOSED,A-9B,17.12871568,883824.6005
45485,,JUNE-24-BLK1,4720,MAIN,BACKLOG,A-9C,16.8696712,79624.84804
45485,,NOV-20-BLK6,48063,MAIN,CLOSED,D-17C,20.27,974237.01
45485,,APR-24-TNK4,37596,MAIN,,D-1C,20,751920
45485,,APR-24-TNK2,4103,MAIN,CLOSED,D-1D,20,82060
45488,,OCT-22-BLK5,3486,MAIN,CLOSED,A-15A,21.37,74495.82
45488,,MAR-23-BLK4,20775,MAIN,,A-17C,19.64,408021
45488,,JUNE-24-BLK1,6209,MAIN,,A-9C,16.8696712,104743.7885
45488,,APR-24-TNK4,2729,MAIN,,D-1C,20,54580
45489,,MAR-23-BLK4,28786,MAIN,,A-17C,19.64,565357.04
45489,,JUNE-24-BLK1,8370,MAIN,,A-9C,16.8696712,141199.1479
45489,,APR-24-TNK4,3728,MAIN,CLOSED,D-1C,20,74560
45490,,MAR-23-BLK4,18309,MAIN,,A-17C,19.64,359588.76
45490,,JUNE-24-BLK1,6161,MAIN,,A-9C,16.8696712,103934.0442
45490,,JULY-24-TNK1,4274,MAIN,,D-1D,23,98302
45491,,FEB-23-BLK6,23338,MAIN,OPEN,A-17B,19.75,460925.5
45491,,MAR-23-BLK4,1549,MAIN,CLOSED,A-17C,19.64,30422.36
45491,,JUNE-24-BLK1,6411,MAIN,,A-9C,16.8696712,108151.462
45491,,JULY-24-TNK1,3594,MAIN,,D-1D,23,82662
45492,,FEB-23-BLK6,14374,MAIN,,A-17B,19.75,283886.5
45492,,JUNE-24-BLK1,3737,MAIN,,A-9C,16.8696712,63041.96126
